Genre-Defind,Movie_Content,Dir_CAT,Item_Song(Y/N),Budget,Youtube_Views,Youtube_Likes,Youtube_Dislikes,Box_Office_Collection
Thriller / Suspense / Horror,Prequel / Sequel,LK,1,12,13798789,15708,5226,27
Thriller / Suspense / Horror,Masala,LK,1,18,8788913,18907,2940,25
Thriller / Suspense / Horror,Masala,LK,0,20,6698987,6750,2234,14
Thriller / Suspense / Horror,Masala,LK,0,13,5592977,15464,1513,32
Romance,Masala,LK,0,48,5192338,6928,1120,22
 Drama ,Masala,A,1,40,5176897,10672,1392,34
Thriller / Suspense / Horror,Masala,LK,0,12,4823892,5797,227,2
Action / Sci Fi, Social subject ,LK,0,27,4687259,13219,1605,14
Comedy,Masala,LK,0,5,4674795,3706,762,12
Comedy,Masala,LK,1,16,4321162,10126,964,28
Thriller / Suspense / Horror,Masala,LK,0,35,4050407,8197,1155,30
Romance,Masala,LK,0,16,3998331,2307,497,3
Comedy,Masala,B,0,30,3905050,8315,1373,25
Romance,Masala,LK,1,30,3799253,8559,1871,13
Romance,Masala,B,1,35,3788488,4111,687,30
Thriller / Suspense / Horror,Masala,LK,1,16,3707889,3512,1292,29
Comedy,Satire ,LK,0,2,3557585,3927,1364,3
Comedy,Masala,LK,1,35,3395361,8395,1204,33
Comedy,Masala,LK,0,15,3250917,8185,615,30
Action / Sci Fi,Masala,LK,1,22,3162465,7519,562,21
Comedy,Masala,LK,0,18,3113427,4512,1224,11
Thriller / Suspense / Horror,Masala,LK,0,11,3094001,4599,997,14
 Drama ,Masala,A,0,30,3043012,9100,971,27
Thriller / Suspense / Horror,Masala,B,0,24,2876498,5844,1537,20
Romance,Masala,LK,0,22,2850376,4764,1068,14
 Drama ,Masala,LK,0,5,2763615,6907,489,14
Romance,Masala,LK,0,27,2581449,4416,819,28
Action / Sci Fi,Masala,B,1,75,2539431,5634,922,18
Action / Sci Fi,Masala,LK,0,28,2397647,3308,465,6
 Drama ,Masala,LK,0,25,2368404,8619,539,30
 Drama ,Masala,A,0,31,2360968,2807,595,4
Comedy,Masala,LK,1,10,2343109,2963,556,13
Comedy,Masala,LK,1,31,2333067,2436,591,27
Comedy,Masala,LK,0,32,2316047,4289,807,12
Thriller / Suspense / Horror,Prequel / Sequel,LK,1,12,2249055,1879,747,25
 Drama ,Masala,LK,0,2,2240961,842,348,6
Action / Sci Fi,Masala,LK,0,30,1939868,1804,224,24
 Drama ,Masala,LK,1,20,1901503,3394,754,23
Action / Sci Fi,Masala,LK,1,30,1754266,1674,420,17
 Drama ,Masala,LK,0,24,1744602,3013,392,10
Comedy,Social Subject,LK,1,10,1741424,3024,181,33
 Drama ,Masala,LK,0,10,1719399,3656,548,12
Romance,Masala,LK,1,12,1718619,1606,1083,2
Thriller / Suspense / Horror,Masala,LK,0,15,1679872,255,51,5
Action / Sci Fi,Masala,LK,1,36,1551786,1753,619,16
Romance,Masala,LK,0,10,1537063,822,229,1
 Drama ,Masala,A,1,6,1528538,2766,328,14
Comedy,Masala,LK,1,21,1511318,3004,278,4
Comedy,Masala,LK,0,5,1257416,758,923,2
Comedy,Masala,A,1,9,1208841,1442,342,22
Thriller / Suspense / Horror,Masala,LK,1,5,1200152,1385,345,6
 Drama ,Prequel / Sequel,B,1,15,1176596,1037,189,22
Thriller / Suspense / Horror,Masala,LK,0,15,1131573,913,255,3
Thriller / Suspense / Horror,Social Subject,LK,0,10,1087320,1129,137,12
Romance,Masala,LK,0,5,1077723,897,114,10
Thriller / Suspense / Horror,Social Subject,B,0,30,1041892,1911,344,32
Romance,Masala,LK,0,12,1016858,1081,212,3
Action / Sci Fi,Remake,A,0,25,1001670,2110,268,11
Comedy,Satire ,LK,0,10,989096,1608,173,6
Thriller / Suspense / Horror,Masala,LK,1,8,841891,997,306,9
Thriller / Suspense / Horror,Masala,LK,0,10,839270,1542,95,4
Thriller / Suspense / Horror,Masala,LK,0,10,838943,1116,153,4
 Drama ,Masala,LK,0,5,808439,328,95,1
 Drama ,Masala,B,0,11,764725,1377,94,10
Romance,Masala,LK,0,15,630506,463,83,2
Thriller / Suspense / Horror,Masala,LK,1,4,613448,288,188,8
 Drama ,Masala,LK,0,26,603710,1082,177,7
Action / Sci Fi,Masala,LK,0,8,591838,347,31,2
 Drama ,Art ,LK,0,12,577569,1640,156,22
Comedy,Masala,LK,0,10,572336,586,54,4
Comedy,Masala,LK,0,5,569711,1226,133,11
 Drama ,Satire ,LK,0,7,492344,2018,64,1
Comedy,Masala,LK,1,5,462722,513,77,10
Thriller / Suspense / Horror,Masala,LK,0,18,371133,532,180,2
 Drama ,Biography,LK,0,3,370106,991,35,2
Comedy,Masala,LK,1,11,335807,574,129,6
Comedy,Masala,LK,0,15,268289,139,40,4
Action / Sci Fi,Masala,LK,1,4,235767,192,164,2
Thriller / Suspense / Horror,Prequel / Sequel,B,1,15,110315,89,26,1
Thriller / Suspense / Horror,Masala,LK,0,10,79430,61,112,0
Romance,Masala,LK,0,10,68511,76,16,5
 Drama ,Masala,LK,0,7,42626,86,19,0
Comedy,Masala,LK,0,14,40450,33,7,8
Action / Sci Fi,Masala,LK,0,4,28391,8,14,0
Comedy,Masala,LK,1,4,23186,9,4,2
 Drama ,Masala,LK,0,2,4354,1,1,0
Action / Sci Fi,Prequel / Sequel,A,0,115,23171067,72070,11888,300
Action / Sci Fi,Masala,A,1,100,18986221,101275,10066,377
Action / Sci Fi,Masala,B,1,140,15889811,61805,6283,340
Action / Sci Fi,Masala,B,1,90,13279636,19240,3859,57
 Drama ,Satire ,A,1,85,13270623,43767,5693,735
Romance,Book / Novel,LK,0,36,8576361,26622,2527,104
Action / Sci Fi,Prequel / Sequel,A,0,90,8287587,20011,2899,200
Action / Sci Fi,Masala,B,1,60,7968156,29246,2426,125
Romance,Masala,LK,0,40,7687797,18974,3229,58
Thriller / Suspense / Horror,Prequel / Sequel,A,1,60,7641333,12617,2138,162
 Drama ,Art ,A,0,24,7048104,23590,2443,69
Action / Sci Fi,Masala,A,0,50,6841635,14182,1997,129
Romance,Masala,LK,0,20,6604595,14535,2208,130
 Drama ,Masala,LK,1,50,6464704,22977,3396,45
 Drama ,Masala,A,1,125,6395202,37585,10269,383
Comedy,Masala,A,0,60,6336058,20472,2843,163
Comedy,Masala,A,1,75,6280868,1,1,64
Comedy,Masala,B,0,15,6144142,13013,2746,59
Action / Sci Fi,Masala,LK,1,40,6132407,11241,1729,56
 Drama ,Biography,LK,0,15,6086811,26560,1647,104
Romance,Masala,B,1,35,5470632,12413,1018,100
Romance,Masala,LK,0,12,5454349,12548,2038,39
Thriller / Suspense / Horror,Prequel / Sequel,LK,1,18,5416213,6807,2717,50
Comedy,Masala,B,1,85,5319606,10253,8165,35
Romance,Masala,B,1,70,5123217,13826,1640,311
Comedy,Masala,A,0,40,4903941,12657,2139,55
Action / Sci Fi,Masala,LK,0,150,4740727,13466,2649,120
Comedy,Masala,LK,0,50,4590539,9021,1465,38
Action / Sci Fi,Masala,LK,1,23,4550051,10602,893,77
Romance,Masala,B,1,35,4518748,13558,1094,106
 Drama , Social subject ,LK,0,15,4376650,14408,1035,36
 Drama ,Masala,B,0,12,4042091,10609,788,44
Comedy,Masala,B,1,50,4015674,8084,2129,40
Romance,Masala,B,0,21,4005695,8189,1814,65
Action / Sci Fi,Masala,A,1,50,3503887,8383,1419,77
Romance,Masala,LK,0,19,3331082,4853,767,40
Thriller / Suspense / Horror,Prequel / Sequel,B,1,100,3077135,9200,2821,80
Thriller / Suspense / Horror,Prequel / Sequel,LK,0,29,3049275,10759,657,53
 Drama ,Masala,B,0,25,2981381,5339,443,61
Romance,Prequel / Sequel,B,0,12,2926673,4944,628,110
Comedy,Prequel / Sequel,LK,1,24,2775792,5457,681,55
 Drama ,Biography,A,0,30,2635390,4622,456,164
Romance,Masala,LK,1,27,2543707,6390,975,36
Action / Sci Fi,Remake,A,1,50,2501277,1,1,100
Comedy,Masala,A,1,33,2435283,4326,647,40
Romance,Masala,B,0,35,2375050,4358,555,36
Comedy,Masala,LK,1,30,2248046,5108,614,38
 Drama ,Masala,B,0,40,2105508,5599,677,38
 Drama ,Masala,B,0,30,1888754,5686,512,62
Comedy,Masala,A,1,75,1882346,7954,1593,395
Thriller / Suspense / Horror,Masala,LK,1,24,1837437,3296,613,45
 Drama ,Masala,B,0,42,1829417,6248,568,103
Comedy,Masala,B,1,35,1795640,3015,721,298
Thriller / Suspense / Horror,Social Subject,B,0,35,1709945,2974,594,43
 Drama ,Social Subject,A,1,50,1422568,2736,394,60
 Drama ,Biography,B,0,6,1148516,3155,396,40
 Drama ,Masala,LK,0,7,1076591,1806,84,35
 Drama ,Masala,LK,0,10,1064854,4054,285,85
Action / Sci Fi,Masala,A,0,120,868743,2783,404,111
Thriller / Suspense / Horror,Masala,B,1,45,769365,784,126,75
Comedy,Masala,LK,1,5,227912,222,39,36
Comedy,Masala,A,1,20,166066,2897,283,42
Romance,Masala,LK,0,25,5142,1,1,55
